no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-16806;3416806;S6 26.276 E106 57.300;;;Jakarta;48.2;42.6;90.8;Plumpang
34-16807;3416807;S6 31.055 E107 07.583;;;Jakarta;71.8;66.2;138;Plumpang
34-16808;3416808;S6 22.423 E106 58.300;;;Jakarta;48.2;42;90.2;Plumpang
34-16809;3416809;S6 26.564 E106 56.857;;;Jakarta;49.1;43.6;92.7;Plumpang
34-16810;3416810;S6 23.060 E106 56.121;;;Jakarta;40.4;33.8;74.2;Plumpang
34-16811;3416811;S6 24.599 E106 59.344;;;Jakarta;47.3;41.1;88.4;Plumpang
34-16812;3416812;S6 29.205 E107 06.536;;;Jakarta;66.8;61.2;128;Plumpang
34-16813;3416813;S6 34.108 E106 51.352;;;Jakarta;59.2;54.7;113.9;Plumpang
34-16814;3416814;S6 23.541 E106 57.368;;;Jakarta;42.5;38.8;81.3;Plumpang
34-16815;3416815;S6 24.506 E106 58.864;;;Jakarta;46.4;40.2;86.6;Plumpang
34-16816;3416816;S6 22.030 E106 58.473;;;Jakarta;49.6;42.8;92.4;Plumpang
34-16817;3416817;S6 24.437 E106 58.457;;;Jakarta;45.8;39.3;85.1;Plumpang
34-16818;3416818;S6 29.234 E106 53.039;;;Jakarta;49.4;44.1;93.5;Plumpang
34-16819;3416819;S6 23.313 E106 58.115;;;Jakarta;46.4;40.2;86.6;Plumpang
34-16820;3416820;S6 25.546 E107 02.193;;;Jakarta;53.5;47.3;100.8;Plumpang
34-16821;3416821;S6 33.049 E106 51.118;;;Jakarta;50.8;53;103.8;Plumpang
34-16822;3416822;S6 23.444 E106 58.788;;;Jakarta;41.3;43.6;84.9;Plumpang
34-16901;3416901;S6 30.729 E106 50.456;;;Jakarta;57.1;51.6;108.7;Plumpang
34-16902;3416902;S6 27.044 E106 51.179;;;Jakarta;53.1;47.1;100.2;Plumpang
34-16903;3416903;S6 27.871 E106 53.546;;;Jakarta;46;39.6;85.6;Plumpang
34-16904;3416904;S6 29.154 E106 52.484;;;Jakarta;48.3;42.1;90.4;Plumpang
34-16905;3416905;S6 32.853 E106 50.976;;;Jakarta;60;49.4;109.4;Plumpang
34-16906;3416906;S6 28.593 E106 50.772;;;Jakarta;52.9;47;99.9;Plumpang
34-16907;3416907;S6 28.378 E106 53.151;;;Jakarta;47.1;40;87.1;Plumpang
34-16908;3416908;S6 21.310 E106 50.745;;;Jakarta;41.4;32.2;73.6;Plumpang
34-16909;3416909;S6 23.166 E106 52.070;;;Jakarta;39.2;33.9;73.1;Plumpang
34-16910;3416910;S6 21.321 E106 51.235;;;Jakarta;36.4;31.3;67.7;Plumpang
34-16911;3416911;S6 30.584 E106 48.384;;;Jakarta;60.6;54.6;115.2;Plumpang
34-16912;3416912;S6 22.100 E106 51.599;;;Jakarta;36;31.8;67.8;Plumpang
34-16913;3416913;S6 27.008 E106 54.565;;;Jakarta;48.3;41.8;90.1;Plumpang
34-16914;3416914;S6 22.533 E106 56.714;;;Jakarta;43.1;36;79.1;Plumpang
34-16915;3416915;S6 22.256 E106 53.781;;;Jakarta;35.4;28.7;64.1;Plumpang
34-16916;3416916;S6 31.059 E106 50.190;;;Jakarta;56.3;50.9;107.2;Plumpang
34-16917;3416917;S6 24.385 E106 53.441;;;Jakarta;43.2;37.2;80.4;Plumpang
34-16918;3416918;S6 29.927 E106 47.695;;;Jakarta;61.1;55.2;116.3;Plumpang
34-16919;3416919;S6 26.654 E106 52.303;;;Jakarta;44.4;38.4;82.8;Plumpang
34-16920;3416920;S6 26.572 E106 51.226;;;Jakarta;53.9;48;101.9;Plumpang
34-16921;3416921;S6 28.552 E106 48.213;;;Jakarta;59.1;53.2;112.3;Plumpang
34-16922;3416922;S6 32.131 E106 48.411;;;Jakarta;65;61.1;126.1;Plumpang
34-16923;3416923;S6 19.162 E106 57.959;;;Jakarta;50.4;43.4;93.8;Plumpang
34-16924;3416924;S6 21.211 E106 51.619;;;Jakarta;37.2;32.1;69.3;Plumpang
34-16925;3416925;S6 24.945 E106 56.404;;;Jakarta;44.4;38.1;82.5;Plumpang
34-16926;3416926;S6 28.341 E106 49.325;;;Jakarta;58.5;52.6;111.1;Plumpang
34-16927;3416927;S6 24.405 E106 56.159;;;Jakarta;42.8;36.6;79.4;Plumpang
34-16928;3416928;S6 20.832 E106 57.684;;;Jakarta;46.9;39.8;86.7;Plumpang
34-16929;3416929;S6 27.705 E106 53.532;;;Jakarta;45.9;39.5;85.4;Plumpang
34-16930;3416930;S6 28.508 E106 49.788;;;Jakarta;59.5;53.7;113.2;Plumpang
34-16931;3416931;S6 28.871 E106 52.048;;;Jakarta;49.9;42.9;92.8;Plumpang
34-16932;3416932;S6 22.599 E106 53.227;;;Jakarta;36.2;31.1;67.3;Plumpang
34-16933;3416933;S6 29.118 E106 50.164;;;Jakarta;55.1;48.9;104;Plumpang
34-16934;3416934;S6 28.078 E106 50.429;;;Jakarta;54.4;48.5;102.9;Plumpang
34-16935;3416935;S6 29.346 E106 50.649;;;Jakarta;54.5;48.5;103;Plumpang
34-16936;3416936;S6 27.177 E106 53.885;;;Jakarta;47.3;40.8;88.1;Plumpang
34-16937;3416937;S6 24.326 E106 54.279;;;Jakarta;41.2;34.8;76;Plumpang
34-16938;3416938;S6 29.991 E106 46.349;;;Jakarta;70.1;70.8;140.9;Plumpang
34-16939;3416939;S6 27.788 E106 52.919;;;Jakarta;38.9;43.5;82.4;Plumpang
34-17101;3417101;S6 17.201 E106 59.191;;;Jakarta;31.8;36.4;68.2;Plumpang
34-17104;3417104;S6 19.750 E106 58.906;;;Jakarta;38.3;38.3;76.6;Plumpang
34-17105;3417105;S6 16.763 E106 58.358;;;Jakarta;32.3;37.4;69.7;Plumpang
34-17106;3417106;S6 14.292 E107 00.063;;;Jakarta;29.8;27.3;57.1;Plumpang
34-17107;3417107;S6 13.316 E107 00.912;;;Jakarta;32.2;29.7;61.9;Plumpang
34-17110;3417110;S6 12.092 E106 58.588;;;Jakarta;17.3;28.8;46.1;Plumpang
34-17111;3417111;S6 15.010 E107 00.880;;;Jakarta;32.7;32.7;65.4;Plumpang
34-17112;3417112;S6 11.600 E106 58.289;;;Jakarta;16.6;17.5;34.1;Plumpang
34-17113;3417113;S6 17.513 E106 59.094;;;Jakarta;32.4;37;69.4;Plumpang
34-17114;3417114;S6 15.714 E106 59.915;;;Jakarta;33.7;29.8;63.5;Plumpang
34-17115;3417115;S6 16.463 E106 56.103;;;Jakarta;30.2;25.1;55.3;Plumpang
34-17116;3417116;S6 13.995 E106 57.936;;;Jakarta;34.2;31.7;65.9;Plumpang
34-17117;3417117;S6 12.537 E106 58.640;;;Jakarta;34.4;22.3;56.7;Plumpang
34-17121;3417121;S6 11.923 E106 59.396;;;Jakarta;18.8;18.5;37.3;Plumpang
34-17122;3417122;S6 15.420 E106 59.301;;;Jakarta;32.9;28.9;61.8;Plumpang
34-17123;3417123;S6 11.125 E106 58.656;;;Jakarta;55.8;39.1;94.9;Plumpang
34-17124;3417124;S6 15.674 E107 00.026;;;Jakarta;29.2;34.9;64.1;Plumpang
34-17125;3417125;S6 14.796 E106 57.907;;;Jakarta;21.9;27;48.9;Plumpang
34-17128;3417128;S6 16.512 E106 54.786;;;Jakarta;20.2;24.9;45.1;Plumpang
34-17129;3417129;S6 14.526 E107 00.890;;;Jakarta;32;37;69;Plumpang
34-17130;3417130;S6 10.604 E106 59.954;;;Jakarta;22.3;21.9;44.2;Plumpang
34-17131;3417131;S6 16.152 E107 00.078;;;Jakarta;30.3;34.9;65.2;Plumpang
34-17132;3417132;S6 18.891 E106 59.888;;;Jakarta;36.2;40.8;77;Plumpang
34-17134;3417134;S6 14.956 E106 57.570;;;Jakarta;24.2;28.1;52.3;Plumpang
34-17136;3417136;S6 12.399 E107 01.042;;;Jakarta;22.4;23.9;46.3;Plumpang
34-17137;3417137;S6 13.623 E106 59.203;;;Jakarta;37.6;24.9;62.5;Plumpang
34-17138;3417138;S6 13.257 E106 57.883;;;Jakarta;34;33.7;67.7;Plumpang
34-17139;3417139;S6 13.285 E107 01.094;;;Jakarta;24.1;33.3;57.4;Plumpang
34-17140;3417140;S6 12.215 E107 00.198;;;Jakarta;20.4;20;40.4;Plumpang
34-17141;3417141;S6 15.492 E106 59.628;;;Jakarta;28.4;33;61.4;Plumpang
34-17143;3417143;S6 15.566 E106 57.565;;;Jakarta;26.7;26.7;53.4;Plumpang
34-17144;3417144;S6 14.980 E107 00.009;;;Jakarta;37.5;32.2;69.7;Plumpang
34-17145;3417145;S6 16.356 E106 59.580;;;Jakarta;34.7;30.7;65.4;Plumpang
34-17148;3417148;S6 11.356 E107 00.392;;;Jakarta;22.4;22.4;44.8;Plumpang
34-17201;3417201;S6 06.896 E106 59.642;;;Jakarta;20;20.4;40.4;Plumpang
34-17202;3417202;S6 09.724 E106 59.381;;;Jakarta;22.9;22.9;45.8;Plumpang
34-17203;3417203;S6 07.909 E106 59.512;;;Jakarta;12.2;13;25.2;Plumpang
34-17204;3417204;S6 09.782 E107 00.342;;;Jakarta;21.7;28;49.7;Plumpang
34-17205;3417205;S6 09.605 E106 58.484;;;Jakarta;19.9;25.3;45.2;Plumpang
34-17401;3417401;S6 17.157 E106 55.377;;;Jakarta;33.9;22.9;56.8;Plumpang
34-17402;3417402;S6 17.321 E106 56.361;;;Jakarta;37.7;32.6;70.3;Plumpang
34-17403;3417403;S6 16.228 E106 54.695;;;Jakarta;24.4;20.3;44.7;Plumpang
34-17404;3417404;S6 22.502 E106 54.872;;;Jakarta;37;31.1;68.1;Plumpang
34-17405;3417405;S6 18.681 E106 55.468;;;Jakarta;25;30.2;55.2;Plumpang
34-17406;3417406;S6 22.826 E106 55.380;;;Jakarta;34.7;35.4;70.1;Plumpang
34-17407;3417407;S6 18.129 E106 57.387;;;Jakarta;35.6;29.9;65.5;Plumpang
34-17408;3417408;S6 16.211 E106 57.020;;;Jakarta;29.3;28.7;58;Plumpang
34-17409;3417409;S6 17.200 E106 57.067;;;Jakarta;36.5;31.2;67.7;Plumpang
34-17410;3417410;S6 21.137 E106 55.286;;;Jakarta;38.9;34.8;73.7;Plumpang
34-17411;3417411;S6 22.167 E106 55.168;;;Jakarta;36.8;32.1;68.9;Plumpang
34-17412;3417412;S6 15.458 E106 57.034;;;Jakarta;27.5;24.9;52.4;Plumpang
34-17413;3417413;S6 17.579 E106 57.676;;;Jakarta;36.1;29.6;65.7;Plumpang
34-17414;3417414;S6 17.776 E106 58.121;;;Jakarta;34.8;30.6;65.4;Plumpang
34-17415;3417415;S6 17.845 E106 55.334;;;Jakarta;39.7;27.2;66.9;Plumpang
34-17416;3417416;S6 18.322 E106 56.218;;;Jakarta;32.3;27.5;59.8;Plumpang
34-17417;3417417;S6 17.238 E106 58.084;;;Jakarta;37;30.9;67.9;Plumpang
34-17418;3417418;S6 19.779 E106 56.769;;;Jakarta;38.9;33.3;72.2;Plumpang
34-17419;3417419;S6 20.447 E106 55.785;;;Jakarta;34.6;30.9;65.5;Plumpang
34-17503;3417503;S6 15.550 E107 09.955;;;Jakarta;55.7;53.8;109.5;Plumpang
34-17514;3417514;S6 17.560 E107 04.759;;;Jakarta;57.2;30.7;87.9;Plumpang
34-17516;3417516;S6 15.899 E107 01.819;;;Jakarta;37.1;32.4;69.5;Plumpang
34-17526;3417526;S6 17.877 E107 08.840;;;Jakarta;47.2;54.3;101.5;Plumpang
34-17528 (deX);3417528;S6 16.128 E107 02.235;;;Jakarta;43.4;33.2;76.6;Plumpang
34-17529;3417529;S6 20.406 E107 07.222;;;Jakarta;56.6;51.2;107.8;Plumpang
34-17531;3417531;S6 20.900 E107 12.346;;;Jakarta;57.1;73;130.1;Plumpang
34-40102;3440102;S6 54.261 E107 36.424;;;Jakarta;152;156;308;Plumpang
34-40106;3440106;S6 54.165 E107 33.879;;;Jakarta;147;150;297;Plumpang
34-40110;3440110;S6 54.802 E107 38.035;;;Jakarta;176;118;294;Plumpang
34-40111;3440111;S6 53.255 E107 36.123;;;Jakarta;153;157;310;Plumpang
34-40116;3440116;S6 53.615 E107 35.167;;;Jakarta;152;152;304;Plumpang
34-40120;3440120;S6 52.963 E107 34.883;;;Jakarta;171;173;344;Plumpang
34-40121;3440121;S6 53.317 E107 36.225;;;Jakarta;154;157;311;Plumpang
34-40122;3440122;S6 52.138 E107 37.248;;;Jakarta;161;159;320;Plumpang
34-40124;3440124;S6 52.853 E107 35.933;;;Jakarta;175;176;351;Plumpang
34-40125;3440125;S6 53.445 E107 36.996;;;Jakarta;155;158;313;Plumpang
34-40127;3440127;S6 55.194 E107 36.726;;;Jakarta;155;157;312;Plumpang
34-40130;3440130;S6 54.977 E107 37.114;;;Jakarta;156;158;314;Plumpang
34-40132;3440132;S6 52.523 E107 35.811;;;Jakarta;175;176;351;Plumpang
34-40133;3440133;S6 54.334 E107 37.106;;;Jakarta;155;157;312;Plumpang
34-40134;3440134;S6 53.882 E107 35.828;;;Jakarta;151;154;305;Plumpang
34-40135;3440135;S6 53.340 E107 34.902;;;Jakarta;170;171;341;Plumpang
34-40217;3440217;S6 56.263 E107 37.076;;;Jakarta;159;166;325;Plumpang
34-40232;3440232;S6 58.028 E107 40.893;;;Jakarta;163;185;348;Plumpang
34-40234;3440234;S6 54.827 E107 39.524;;;Jakarta;162;161;323;Plumpang
34-40236;3440236;S6 55.395 E107 37.679;;;Jakarta;157;158;315;Plumpang
34-40237;3440237;S6 55.159 E107 34.480;;;Jakarta;154;155;309;Plumpang
34-40249;3440249;S6 54.729 E107 38.213;;;Jakarta;157;157;314;Plumpang
34-40254;3440254;S6 56.185 E107 36.633;;;Jakarta;164;160;324;Plumpang
34-40255;3440255;S6 55.555 E107 35.565;;;Jakarta;153;155;308;Plumpang
34-40256;3440256;S6 56.110 E107 35.549;;;Jakarta;153;158;311;Plumpang
34-40259;3440259;S6 54.845 E107 34.250;;;Jakarta;153;151;304;Plumpang
34-40514;3440514;S6 49.695 E107 22.560;;;Jakarta;173;175;348;Plumpang
34-40527;3440527;S6 53.104 E107 31.183;;;Jakarta;148;143;291;Plumpang
34-41118;3441118;S6 31.782 E107 26.827;;;Jakarta;96.4;102;198.4;Plumpang
34-41125;3441125;S6 28.053 E107 26.744;;;Jakarta;87.9;105;192.9;Plumpang
34-41126;3441126;S6 33.682 E107 26.186;;;Jakarta;101;104;205;Plumpang
34-41128;3441128;S6 40.472 E107 26.361;;;Jakarta;164;116;280;Plumpang
34-41230;3441230;S6 16.863 E107 51.593;;;Jakarta;167;142;309;Plumpang
34-41313;3441313;S6 25.543 E107 28.825;;;Jakarta;90;92.7;182.7;Plumpang
34-41319;3441319;S6 25.186 E107 28.936;;;Jakarta;90.88;93.5;184.38;Plumpang
34-41329;3441329;S6 23.921 E107 29.672;;;Jakarta;93.7;94;187.7;Plumpang
34-41334;3441334;S6 21.927 E107 31.942;;;Jakarta;97.8;103;200.8;Plumpang
34-41340;3441340;S6 22.074 E107 21.666;;;Jakarta;99;72.3;171.3;Plumpang
34-41345;3441345;S6 21.311 E107 13.806;;;Jakarta;69.2;61.1;130.3;Plumpang
34-41346;3441346;S6 23.380 E107 23.737;;;Jakarta;90.6;79.9;170.5;Plumpang
34-42102;3442102;S6 12.457 E106 21.549;;;Jakarta;73.2;77.1;150.3;Plumpang
34-42107;3442107;S6 07.863 E106 15.885;;;Jakarta;85.1;86.1;171.2;Plumpang
34-42109;3442109;S6 07.911 E106 12.352;;;Jakarta;97.7;108;205.7;Plumpang
34-42110;3442110;S6 07.971 E106 12.203;;;Jakarta;106;99;205;Plumpang
34-42111;3442111;S6 07.678 E106 08.850;;;Jakarta;98.7;101;199.7;Plumpang
34-42113;3442113;S6 07.511 E106 13.765;;;Jakarta;89.1;90.1;179.2;Plumpang
34-42114;3442114;S6 07.385 E106 13.240;;;Jakarta;99;91.2;190.2;Plumpang
34-42121;3442121;S6 07.186 E106 11.507;;;Jakarta;95.7;97.8;193.5;Plumpang
34-42122;3442122;S6 04.362 E106 07.475;;;Jakarta;103;108;211;Plumpang
34-42123;3442123;S6 08.389 E106 16.945;;;Jakarta;82.9;83.9;166.8;Plumpang
34-42125;3442125;S6 10.791 E106 08.858;;;Jakarta;10.4;10.7;21.1;Plumpang
34-42126;3442126;S6 12.974 E106 12.442;;;Jakarta;108;111;219;Plumpang
34-42128;3442128;S6 02.701 E106 04.590;;;Jakarta;111;115;226;Plumpang
34-42131;3442131;S6 08.068 E106 10.043;;;Jakarta;97;100;197;Plumpang
34-42132;3442132;S6 06.172 E106 09.768;;;Jakarta;96.6;99.1;195.7;Plumpang
34-42133;3442133;S6 07.215 E106 10.467;;;Jakarta;96.9;97.4;194.3;Plumpang
34-42202;3442202;S6 16.502 E106 07.243;;;Jakarta;115;118;233;Plumpang
34-42204;3442204;S6 19.841 E106 04.834;;;Jakarta;123;126;249;Plumpang
34-42211;3442211;S6 22.122 E106 01.396;;;Jakarta;132;135;267;Plumpang
34-42301;3442301;S6 21.356 E106 16.667;;;Jakarta;135;139;274;Plumpang
34-42303;3442303;S6 20.944 E106 13.701;;;Jakarta;128;132;260;Plumpang
34-42308;3442308;S6 20.172 E106 09.643;;;Jakarta;127;130;257;Plumpang
34-42310;3442310;S6 20.617 E106 12.473;;;Jakarta;125;129;254;Plumpang
34-42401;3442401;S6 01.478 E106 04.130;;;Jakarta;112;115;227;Plumpang
34-42402;3442402;S5 58.143 E106 00.268;;;Jakarta;122;123;245;Plumpang
34-42404;3442404;S5 59.171 E106 05.338;;;Jakarta;115;122;237;Plumpang
34-42407;3442407;S5 59.481 E106 01.707;;;Jakarta;137;120;257;Plumpang
34-42409;3442409;S5 57.507 E106 00.360;;;Jakarta;124;124;248;Plumpang
34-42410;3442410;S5 57.915 E106 00.189;;;Jakarta;123;128;251;Plumpang
34-42411;3442411;S6 00.651 E106 01.094;;;Jakarta;117;127;244;Plumpang
34-43101;3443101;S6 55.013 E106 54.597;;;Jakarta;112;125.2;237.2;Plumpang
34-43103;3443103;S6 54.244 E106 52.722;;;Jakarta;108;121;229;Plumpang
34-43105;3443105;S6 55.193 E106 55.134;;;Jakarta;113;126;239;Plumpang
34-43110;3443110;S6 54.339 E106 52.133;;;Jakarta;107;119.89;226.89;Plumpang
34-43113;3443113;S6 57.036 E106 46.208;;;Jakarta;70.2;63.5;133.7;Plumpang
34-43116;3443116;S6 55.341 E106 56.498;;;Jakarta;116;128.99;244.99;Plumpang
34-43301;3443301;S6 54.093 E106 50.791;;;Jakarta;104;117.2;221.2;Plumpang
34-43302;3443302;S6 53.697 E106 48.260;;;Jakarta;99.6;112.3;211.9;Plumpang
34-43303;3443303;S6 46.036 E106 47.819;;;Jakarta;80;80.2;160.2;Plumpang
34-43305;3443305;S6 51.134 E106 45.867;;;Jakarta;91.9;104.4;196.3;Plumpang
34-43307;3443307;S6 53.638 E106 47.843;;;Jakarta;98.9;111.5;210.4;Plumpang
34-43309;3443309;S6 47.782 E106 46.672;;;Jakarta;84.3;84.5;168.8;Plumpang
34-43311;3443311;S6 49.304 E106 45.836;;;Jakarta;87.9;88.1;176;Plumpang
34-43313;3443313;S6 52.356 E106 46.539;;;Jakarta;94.7;107.3;202;Plumpang
34-43314;3443314;S6 50.572 E106 42.934;;;Jakarta;100;100.3;200.3;Plumpang
34-43315;3443315;S6 53.731 E106 46.912;;;Jakarta;70.2;118.8;189;Plumpang
34-45156;3445156;S6 46.683 E108 34.039;;;Jakarta;267;252;519;Plumpang
34-45160;3445160;S6 46.559 E108 33.818;;;Jakarta;246;270;516;Plumpang
37-14417;3714417;S6 07.461 E106 48.605;;;Jakarta;13.7;15;28.7;Plumpang
39-14117;3914117;S6 05.884 E106 56.370;;;Jakarta;14.2;11.6;25.8;Plumpang
39-14425;3914425;S6 06.471 E106 46.485;;;Jakarta;13;17.4;30.4;Plumpang
39-15501;3915501;S6 02.009 E106 34.644;;;Jakarta;56.3;49.6;105.9;Plumpang
39-15502;3915502;S6 02.009 E106 34.644;;;Jakarta;50.5;50.5;101;Plumpang
39-15522;3915522;S6 03.302 E106 25.677;;;Jakarta;99.2;85.7;184.9;Plumpang
BABINKAMPOLRI;BABINKAMPOLRI;S6 14.384 E106 48.185;;;Jakarta;26.5;26.8;53.3;Plumpang
DEBNABABEKTNI;DEBNABABEKTNI;S6 19.813 E106 51.420;;;Jakarta;31.6;28.5;60.1;Plumpang
DENBEKANG111-44-01;DENBEKANG1114401;S6 34.013 E106 48.408;;;Jakarta;60.5;59.3;119.8;Plumpang
DENBEKANGPASPAMPRES;DENBEKANGPASPAMPRES;S6 10.490 E106 49.129;;;Jakarta;14.5;16.4;30.9;Plumpang
DENMABAIS;DENMABAIS;S6 15.357 E106 51.431;;;Jakarta;21.5;20.7;42.2;Plumpang
DENMABESABRI;DENMABESABRI;S6 18.906 E106 54.794;;;Jakarta;31.6;28;59.6;Plumpang
DENMAKOAKMIL;DENMAKOAKMIL;S6 20.226 E106 54.943;;;Jakarta;34.7;33.3;68;Plumpang
DENMAKOOPSI;DENMAKOOPSI;S6 17.076 E106 52.944;;;Jakarta;21.1;24;45.1;Plumpang
DENMASESKOAL;DENMASESKOAL;S6 14.361 E106 46.524;;;Jakarta;39.6;33.1;72.7;Plumpang
DPPU-CGK;DPPUCGK;S6 08.213 E106 38.047;;;Jakarta;35.8;52.1;87.9;Plumpang
DPPU-HALIM;DPPUHALIM;S6 15.711 E106 53.336;;;Jakarta;17.5;21.4;38.9;Plumpang
KAURBEKPASPAMPRES;KAURBEKPASPAMPRES;S6 35.087 E106 47.776;;;Jakarta;59.3;62;121.3;Plumpang
LANUDALJKT;LANUDALJKT;S6 19.846 E106 45.833;;;Jakarta;41.6;44;85.6;Plumpang
LANUDHALIMPERDANAK;LANUDHALIMPERDANAK;S6 16.502 E106 53.141;;;Jakarta;23.8;22.9;46.7;Plumpang
LANUMA;LANUMA;S6 32.413 E106 45.476;;;Jakarta;70.5;67.7;138.2;Plumpang
LEMDIKLATPORLI;LEMDIKLATPORLI;S6 17.246 E106 46.057;;;Jakarta;37.1;45.1;82.2;Plumpang
PERTAMINA;PERTAMINA;S6 08.195 E106 53.792;;;Jakarta;21;21;42;Plumpang
PERTAMINAPATRANIAGA;PERTAMINAPATRANIAGA;#N/A;;;Jakarta;2;2;4;Plumpang
POLAIR;POLAIR;S6 06.755 E106 52.268;;;Jakarta;13.3;9.2;22.5;Plumpang
POLRESBANDARA;POLRESBANDARA;S6 06.984 E106 40.542;;;Jakarta;34.7;44.4;79.1;Plumpang
POLRESBEKASI;POLRESBEKASI;S6 16.869 E107 09.904;;;Jakarta;51.2;54.8;106;Plumpang
POLRESBOGOR;POLRESBOGOR;S6 28.878 E106 49.507;;;Jakarta;50.8;55.1;105.9;Plumpang
POLRESDEPOK;POLRESDEPOK;S6 22.504 E106 49.903;;;Jakarta;39;36.5;75.5;Plumpang
POLRESJAKPUS;POLRESJAKPUS;S6 10.377 E106 51.721;;;Jakarta;7.9;12.3;20.2;Plumpang
POLRESJAKTIM;POLRESJAKTIM;S6 16.242 E106 45.633;;;Jakarta;39.5;45.8;85.3;Plumpang
POLRESMETROTGR;POLRESMETROTGR;S6 14.256 E106 28.185;;;Jakarta;63.5;73.7;137.2;Plumpang
POLRESPELABUIHANTG;POLRESPELABUHANTG;S6 07.001 E106 53.608;;;Jakarta;6.2;9.9;16.1;Plumpang
POLRESTANGGERANG;POLRESTANGGERANG;S6 10.210 E106 37.935;;;Jakarta;47.7;53.5;101.2;Plumpang
PUSDIKLANTAS;PUSDIKLANTAS;S6 14.348 E106 40.031;;;Jakarta;40.3;50.9;91.2;Plumpang
PUSDIKPOLAIRUD;PUSDIKPOLAIRUD;S6 05.949 E106 52.811;;;Jakarta;9.1;8.3;17.4;Plumpang
PUSDIKSERSE710898;PUSDIKSERSE710898;S6 30.443 E106 45.483;;;Jakarta;64.2;68.2;132.4;Plumpang
RUMKITALMTH;RUMKITALMTH;S6 12.681 E106 48.721;;;Jakarta;28.1;29.4;57.5;Plumpang
SATBEKDENMABESAL;SATBEKDENMABESAL;S6 18.906 E106 54.794;;;Jakarta;31.6;28;59.6;Plumpang
SATBEKDENMAKOKOLINLA;SATBEKDENMAKOKOLINLA;S6 06.416 E106 53.578;;;Jakarta;6.7;6.6;13.3;Plumpang
SATPOLAIRPOLDAM;SATPOLAIRPOLDAM;S6 06.913 E106 52.138;;;Jakarta;12.8;8.8;21.6;Plumpang
SEKOLAHPOLISIWANIT;SEKOLAHPOLISIWANIT;S6 14.558 E106 42.782;;;Jakarta;53.8;40.7;94.5;Plumpang
SELAPAPOLISI;SELAPAPOLISI;S6 17.268 E106 46.177;;;Jakarta;35.9;38.7;74.6;Plumpang
SETJENDEPHAN;SETJENDEPHAN;S6 14.928 E106 52.427;;;Jakarta;19.9;17.5;37.4;Plumpang
SETUKPALEMDIKPOL;SETUKPALEMDIKPOL;S6 44.209 E106 49.191;;;Jakarta;77.1;76.4;153.5;Plumpang
SPBB37-0115;SPBB370115;S6 06.405 E106 46.515;;;Jakarta;21.9;32.1;54;Plumpang
SUBDITLANTAS;SUBDITLANTAS;S6 14.859 E106 50.556;;;Jakarta;24.9;21.4;46.3;Plumpang
SUBDITSATWA;SUBDITSATWA;S6 21.294 E106 50.511;;;Jakarta;32.9;33.1;66;Plumpang
TEPBEKJAYA;TEPBEKJAYA;S6 17.749 E106 51.287;;;Jakarta;26.6;24.5;51.1;Plumpang
TEPBEKJAYA1-44-1A;TEPBEKJAYA1441A;S6 17.749 E106 51.287;;;Jakarta;41.4;27.2;68.6;Plumpang
TNIALLANMAR;TNIALLANMAR;S6 17.784 E106 48.699;;;Jakarta;34.3;35.6;69.9;Plumpang
TNI-AU;TNIAU;S6 15.379 E106 53.636;;;Jakarta;31.5;21.4;52.9;Plumpang
