no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
33-17101;3317101;S6 14.020 E106 59.659;;;Jakarta;18.2;18.4;36.6;Plumpang
33-17801;3317801;S6 16.286 E107 05.581;;;Jakarta;41;53.3;94.3;Plumpang
33-41101;3341101;S6 28.022 E107 26.633;;;Jakarta;102;91.3;193.3;Plumpang
33-41201;3341201;S6 30.454 E107 43.262;;;Jakarta;128;137;265;Plumpang
33-41202;3341202;S6 30.575 E107 43.064;;;Jakarta;129;138;267;Plumpang
34-10101;3410101;S6 09.642 E106 48.934;;;Jakarta;21.8;17.5;39.3;Plumpang
34-10102 (dex);3410102;S6 09.939 E106 48.842;;;Jakarta;16.3;18.3;34.6;Plumpang
34-10201 (dex);3410201;S6 12.151 E106 48.362;;;Jakarta;22.9;26.3;49.2;Plumpang
34-10202;3410202;S6 10.506 E106 48.995;;;Jakarta;20.1;18.3;38.4;Plumpang
34-10203;3410203;S6 11.825 E106 48.847;;;Jakarta;38.2;27.9;66.1;Plumpang
34-10205;3410205;S6 10.830 E106 48.813;;;Jakarta;19;31;50;Plumpang
34-10206;3410206;S6 13.740 E106 47.830;;;Jakarta;31.3;29.2;60.5;Plumpang
34-10301;3410301;S6 11.488 E106 49.699;;;Jakarta;32.1;28;60.1;Plumpang
34-10401;3410401;S6 11.088 E106 50.624;;;Jakarta;16.3;12.7;29;Plumpang
34-10402;3410402;S6 11.892 E106 51.294;;;Jakarta;16.5;10.8;27.3;Plumpang
34-10501;3410501;S6 11.550 E106 51.902;;;Jakarta;15.2;12.1;27.3;Plumpang
34-10502;3410502;S6 10.373 E106 51.718;;;Jakarta;7.9;12.3;20.2;Plumpang
34-10504;3410504;S6 11.099 E106 52.499;;;Jakarta;13.4;9.4;22.8;Plumpang
34-10506;3410506;S6 10.494 E106 51.138;;;Jakarta;9;11.9;20.9;Plumpang
34-10507;3410507;S6 10.559 E106 52.071;;;Jakarta;13.3;11.1;24.4;Plumpang
34-10603;3410603;S6 09.006 E106 50.115;;;Jakarta;18.7;12.3;31;Plumpang
34-10604;3410604;S6 10.025 E106 50.537;;;Jakarta;15.6;13.3;28.9;Plumpang
34-10605;3410605;S6 10.452 E106 51.215;;;Jakarta;14.2;11.4;25.6;Plumpang
34-10701;3410701;S6 09.698 E106 49.547;;;Jakarta;21.4;17.4;38.8;Plumpang
34-10702;3410702;S6 08.434 E106 49.628;;;Jakarta;20.3;13.6;33.9;Plumpang
34-11103;3411103;S6 11.892 E106 48.188;;;Jakarta;16.4;24.3;40.7;Plumpang
34-11104;3411104;S6 09.407 E106 49.127;;;Jakarta;15.9;14.9;30.8;Plumpang
34-11201;3411201;S6 09.332 E106 48.436;;;Jakarta;23.2;22.9;46.1;Plumpang
34-11301;3411301;S6 08.918 E106 47.671;;;Jakarta;21.3;16.4;37.7;Plumpang
34-11402;3411402;S6 10.466 E106 48.196;;;Jakarta;16.1;22.3;38.4;Plumpang
